classification_path,name,is_group,total_printed,table_column,printed_page,india_persons,india_males,india_females
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Lu,Lu,0,1,512,484,30031,14971,15060
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Khün,Khün,0,1,515,484,31234,15593,15641
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Daye,Daye,0,1,518,484,698,361,337
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Khamti,Khamti,0,1,521,484,4995,2642,2353
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Shangale,Shangale,0,1,524,484,914379,459089,455290
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Shan-Tayok,Shan-Tayok,0,1,527,484,18270,9827,8443
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Shan-Bama,Shan-Bama,0,1,530,484,7735,4047,3688
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Shan (unspecified),Shan (unspecified),0,1,533,485,4503,2315,2188
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Siamese,Siamese,0,1,536,485,8648,4544,4104
A. Vernaculars of India > Karen Family,Karen Family,1,0,,,1341331,669216,672115
A. Vernaculars of India > Karen Family > Karen Group,Karen Group,1,1,539,485,1341331,669216,672115
A. Vernaculars of India > Karen Family > Karen Group > Monnepwa,Monnepwa,0,1,542,485,2126,1080,1046
A. Vernaculars of India > Karen Family > Karen Group > Bwe,Bwe,0,1,545,485,6227,3136,3091
A. Vernaculars of India > Karen Family > Karen Group > Karenbyu,Karenbyu,0,1,548,485,15299,7797,7502
A. Vernaculars of India > Karen Family > Karen Group > Brek,Brek,0,1,551,485,6695,3234,3461
A. Vernaculars of India > Karen Family > Karen Group > Sgaw,Sgaw,0,1,554,485,499789,251106,248683
A. Vernaculars of India > Karen Family > Karen Group > Paku,Paku,0,1,557,485,8622,4379,4243
A. Vernaculars of India > Karen Family > Karen Group > Pwo,Pwo,0,1,560,485,473722,236105,237617
A. Vernaculars of India > Karen Family > Karen Group > Taungthu,Taungthu,0,1,563,485,222714,111107,111607
A. Vernaculars of India > Karen Family > Karen Group > Padaung,Padaung,0,1,566,485,16485,8409,8076
A. Vernaculars of India > Karen Family > Karen Group > Yinbaw,Yinbaw,0,1,569,485,2922,1472,1450
A. Vernaculars of India > Karen Family > Karen Group > Gheko,Gheko,0,1,572,485,4075,1997,2078
A. Vernaculars of India > Karen Family > Karen Group > Karenni,Karenni,0,1,575,485,31556,14742,16814
A. Vernaculars of India > Karen Family > Karen Group > Zayein,Zayein,0,1,578,485,3737,2008,1729
A. Vernaculars of India > Karen Family > Karen Group > Karen (unspecified),Karen (unspecified),0,1,581,485,47362,22644,24718
A. Vernaculars of India > Man Family,Man Family,1,1,584,485,947,502,445
A. Vernaculars of India > Man Family > Man Group,Man Group,1,1,587,485,947,502,445
A. Vernaculars of India > Man Family > Man Group > Miao,Miao,0,1,590,485,830,442,388
A. Vernaculars of India > Man Family > Man Group > Yao,Yao,0,1,593,485,117,60,57
A. Vernaculars of India > Dravidian Family,Dravidian Family,1,1,596,486,71644787,35847723,35797064
A. Vernaculars of India > Dravidian Family > Dravida Group,Dravida Group,1,1,599,486,41454593,20644277,20810316
A. Vernaculars of India > Dravidian Family > Dravida Group > Tamil,Tamil,0,1,602,486,20411652,10072718,10338934
A. Vernaculars of India > Dravidian Family > Dravida Group > Malayalam,Malayalam,0,1,605,486,9137615,4532736,4604879
A. Vernaculars of India > Dravidian Family > Dravida Group > Kanarese,Kanarese,0,1,608,487,11206380,5690410,5515970
A. Vernaculars of India > Dravidian Family > Dravida Group > Kodagu or Coorgi,Kodagu or Coorgi,0,1,611,487,45368,23220,22148
A. Vernaculars of India > Dravidian Family > Dravida Group > Tulu,Tulu,0,1,614,487,651842,324290,327552
A. Vernaculars of India > Dravidian Family > Dravida Group > Toda,Toda,0,1,617,487,600,340,260
A. Vernaculars of India > Dravidian Family > Dravida Group > Kota,Kota,0,1,620,487,1136,563,573
A. Vernaculars of India > Dravidian Family > Intermediate Group,Intermediate Group,1,1,623,488,3609418,1797388,1812030
A. Vernaculars of India > Dravidian Family > Intermediate Group > Kurukh or Oraon,Kurukh or Oraon,0,1,626,488,1037142,520549,516593
A. Vernaculars of India > Dravidian Family > Intermediate Group > Malto,Malto,0,1,629,488,70761,35143,35618
A. Vernaculars of India > Dravidian Family > Intermediate Group > Gondi,Gondi,0,1,632,488,1864878,926099,938779
A. Vernaculars of India > Dravidian Family > Intermediate Group > Kandhi or Kui,Kandhi or Kui,0,1,635,488,585109,287602,297507
A. Vernaculars of India > Dravidian Family > Intermediate Group > Kolami,Kolami,0,1,638,488,29187,15740,13447
A. Vernaculars of India > Dravidian Family > Intermediate Group > Others (Konda),Others (Konda),0,1,641,489,22341,12255,10086
A. Vernaculars of India > Dravidian Family > Andhra Language Group,Andhra Language Group,1,0,,,26373727,13291050,13082677
A. Vernaculars of India > Dravidian Family > Andhra Language Group > Telugu,Telugu,0,1,644,489,26373727,13291050,13082677
A. Vernaculars of India > Dravidian Family > North-Western Language,North-Western Language,1,0,,,207049,115008,92041
A. Vernaculars of India > Dravidian Family > North-Western Language > Brahui,Brahui,0,1,647,489,207049,115008,92041
A. Vernaculars of India > Indo-European Family,Indo-European Family,1,0,,,257492805,134082997,123409808
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family,Aryan Sub-Family,1,1,650,489,257492805,134082997,123409808
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Eranian Branch,Eranian Branch,1,0,,,2270466,1241831,1028635
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group,Eastern Group,1,1,653,489,2270466,1241831,1028635
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Pashto,Pashto,0,1,656,490,1636490,894852,741638
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Balochi,Balochi,0,1,659,490,628086,343758,284328
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Persian,Persian,0,1,662,490,5282,2873,2409
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Other Eranian Languages,Other Eranian Languages,0,1,665,490,608,348,260
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch,Dardic Branch,1,1,668,490,1522936,826872,696064
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Khowar Group,Khowar Group,1,0,,,6956,3667,3289
"A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Khowar Group > Khowar, Chitrali or Arniya","Khowar, Chitrali or Arniya",0,1,671,491,6956,3667,3289
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group,Dard Group,1,1,674,491,1509741,820018,689723
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,0,1,677,491,68199,35787,32412
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kashmiri,Kashmiri,0,1,680,491,1438021,782508,655513
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kohistani,Kohistani,0,1,683,491,3521,1723,1798
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Kafir Group,Kafir Group,1,1,686,491,6239,3187,3052
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Kafir Group > Bashgali,Bashgali,0,1,689,492,7,6,1
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Dardic Branch > Kafir Group > Other Kafir languages,Other Kafir languages,0,1,692,492,6232,3181,3051
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch,Indo-Aryan Branch,1,1,695,492,253699403,132014294,121685109
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Sanskrit Sub-Branch,Sanskrit Sub-Branch,1,0,,,1181,774,407
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Sanskrit Sub-Branch > Sanskrit Group,Sanskrit Group,1,0,,,1181,774,407
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Sanskrit Sub-Branch > Sanskrit Group > Sanskrit,Sanskrit,0,1,698,492,1181,774,407
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch,Outer Sub-Branch,1,1,701,492,128521941,65678762,62843179
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > North-Western Group,North-Western Group,1,1,704,492,12572198,6803070,5769128
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > North-Western Group > Lahnda or Western Punjabi,Lahnda or Western Punjabi,0,1,707,493,8566051,4603498,3962553
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > North-Western Group > Sindhi,Sindhi,0,1,710,493,4006147,2199572,1806575
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Southern Group,Southern Group,1,1,713,493,21361393,10816947,10544446
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Southern Group > Marathi,Marathi,0,1,716,493,20889658,10572782,10316876
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Southern Group > Konkani,Konkani,0,1,719,494,471735,244165,227570
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Eastern Group,Eastern Group,1,1,722,494,94588350,48058745,46529605
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Eastern Group > Oriya,Oriya,0,1,725,494,11194265,5484976,5709289
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Eastern Group > Bihari,Bihari,0,1,728,494,27926559,14014592,13911967
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Eastern Group > Bengali,Bengali,0,1,731,494,53468469,27516715,25951754
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Eastern Group > Assamese,Assamese,0,1,734,495,1999057,1042462,956595
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Mediate Sub-Branch,Mediate Sub-Branch,1,0,,,7867103,4210310,3656793
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Mediate Sub-Branch > Mediate Group,Mediate Group,1,0,,,7867103,4210310,3656793
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Mediate Sub-Branch > Mediate Group > Eastern Hindi,Eastern Hindi,0,1,737,495,7867103,4210310,3656793
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch,Inner Sub-Branch,1,1,740,495,117309178,62124448,55184730
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group,Central Group,1,1,743,495,114556746,60652042,53904704
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Western Hindi,Western Hindi,0,1,746,496,71547071,37743130,33803941
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Rajasthani,Rajasthani,0,1,749,496,13897896,7271204,6626692
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Gujarati,Gujarati,0,1,752,496,10849984,5610012,5239972
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Bhili,Bhili,0,1,755,496,2189531,1110410,1079121
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Khandesi,Khandesi,0,1,758,496,233010,118252,114758
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Panjabi,Panjabi,0,1,761,497,15839254,8799034,7040220
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Pahari Group,Pahari Group,1,1,764,497,2752432,1472406,1280026
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Pahari Group > Central Pahari,Central Pahari,0,1,767,497,7170,6180,990
"A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Pahari Group > Eastern Pahari, Khas-Kura or Naipali","Eastern Pahari, Khas-Kura or Naipali",0,1,770,497,412951,251266,161685
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,0,1,773,497,2325916,1211008,1114908
A. Vernaculars of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Pahari Group > Pahari (Unspecified),Pahari (Unspecified),0,1,776,497,6395,3952,2443
A. Vernaculars of India > Unclassed Languages,Unclassed Languages,1,1,779,498,54453,29322,25131
A. Vernaculars of India > Unclassed Languages > Andamanese,Andamanese,0,1,782,498,466,251,215
A. Vernaculars of India > Unclassed Languages > Burushaski,Burushaski,0,1,782,498,26076,14678,11398
A. Vernaculars of India > Unclassed Languages > Gipsy Languages,Gipsy Languages,0,1,785,498,25999,13079,12920
A. Vernaculars of India > Unclassed Languages > Others (Indian unspecified or Language not returned),Others (Indian unspecified or Language not returned),0,1,788,498,1912,1314,598
B. Vernaculars of other Asiatic countries and Africa,B. Vernaculars of other Asiatic countries and Africa,1,1,791,498,302324,197655,104669
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family,Indo-European Family,1,0,,,39224,25359,13865
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family,Aryan Sub-Family,1,1,794,499,39224,25359,13865
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch,Indo-Aryan Branch,1,0,,,3849,2006,1843
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch,Outer Sub-Branch,1,0,,,3849,2006,1843
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Southern Group,Southern Group,1,1,797,499,3849,2006,1843
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Outer Sub-Branch > Southern Group > Sinhalese,Sinhalese,0,1,800,499,3849,2006,1843
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Eranian Branch,Eranian Branch,1,1,803,499,35375,23353,12022
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Eranian Branch > Persian Group,Persian Group,1,0,,,34361,22826,11535
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Eranian Branch > Persian Group > Persian,Persian,0,1,806,499,34361,22826,11535
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Eranian Branch > Armenian Group,Armenian Group,1,0,,,1014,527,487
B. Vernaculars of other Asiatic countries and Africa > Indo-European Family > Aryan Sub-Family > Eranian Branch > Armenian Group > Armenian,Armenian,0,1,809,500,1014,527,487
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family,Tibeto-Chinese Family,1,1,812,500,185822,124284,61538
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family,Tai-Chinese Sub-Family,1,0,,,185822,124284,61538
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Chinese Branch,Chinese Branch,1,0,,,185815,124282,61533
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Chinese Branch > Chinese Group,Chinese Group,1,1,815,500,185815,124282,61533
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Chinese Branch > Chinese Group > Yunnanese,Yunnanese,0,1,818,500,67235,40487,26748
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Chinese Branch > Chinese Group > Other Chinese Languages,Other Chinese Languages,0,1,821,501,118572,83792,34780
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Chinese Branch > Chinese Group > Others (Anamese),Others (Anamese),0,1,824,501,8,3,5
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch,Tai Branch,1,0,,,7,2,5
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group,Tai Group,1,0,,,7,2,5
B. Vernaculars of other Asiatic countries and Africa > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Siamese,Siamese,0,1,827,501,7,2,5
B. Vernaculars of other Asiatic countries and Africa > Semitic Family,Semitic Family,1,1,830,501,59954,37052,22902
B. Vernaculars of other Asiatic countries and Africa > Semitic Family > Arabic,Arabic,0,1,833,501,54788,34374,20414
B. Vernaculars of other Asiatic countries and Africa > Semitic Family > Hebrew,Hebrew,0,1,836,502,5156,2672,2484
B. Vernaculars of other Asiatic countries and Africa > Semitic Family > Maltese,Maltese,0,1,839,502,4,1,3
B. Vernaculars of other Asiatic countries and Africa > Semitic Family > Syriac,Syriac,0,1,842,502,6,5,1
B. Vernaculars of other Asiatic countries and Africa > Hamitic Family,Hamitic Family,1,1,845,502,5039,2946,2093
B. Vernaculars of other Asiatic countries and Africa > Hamitic Family > Ethiopic Group,Ethiopic Group,1,1,848,502,5019,2938,2081
B. Vernaculars of other Asiatic countries and Africa > Hamitic Family > Ethiopic Group > Somali,Somali,0,1,851,503,4522,2476,2046
"B. Vernaculars of other Asiatic countries and Africa > Hamitic Family > Ethiopic Group > Egyptian, Abyssinian and others","Egyptian, Abyssinian and others",0,1,854,503,497,462,35
B. Vernaculars of other Asiatic countries and Africa > Mongolian Family,Mongolian Family,1,1,857,503,11943,7806,4137
B. Vernaculars of other Asiatic countries and Africa > Mongolian Family > Ural-Altaic Group,Ural-Altaic Group,1,0,,,7630,4596,3034
B. Vernaculars of other Asiatic countries and Africa > Mongolian Family > Ural-Altaic Group > Turkish,Turkish,0,1,860,503,7630,4596,3034
B. Vernaculars of other Asiatic countries and Africa > Mongolian Family > Japanese Group,Japanese Group,1,0,,,4304,3206,1098
B. Vernaculars of other Asiatic countries and Africa > Mongolian Family > Japanese Group > Japanese,Japanese,0,1,863,503,4304,3206,1098
B. Vernaculars of other Asiatic countries and Africa > Mongolian Family > Other Mongolian,Other Mongolian,0,1,866,504,9,4,5
B. Vernaculars of other Asiatic countries and Africa > Malayo-Polynesian Family,Malayo-Polynesian Family,1,0,,,342,208,134
B. Vernaculars of other Asiatic countries and Africa > Malayo-Polynesian Family > Malayan Group,Malayan Group,1,1,869,504,342,208,134
B. Vernaculars of other Asiatic countries and Africa > Malayo-Polynesian Family > Malayan Group > Tagalog and other Philippine Languages,Tagalog and other Philippine Languages,0,1,872,504,48,38,10
B. Vernaculars of other Asiatic countries and Africa > Malayo-Polynesian Family > Malayan Group > Javanese and other Malayan Languages,Javanese and other Malayan Languages,0,1,875,504,294,170,124
C. European languages,C. European languages,1,1,878,505,339706,208314,131392
C. European languages > Indo-European Family,Indo-European Family,1,1,881,505,339660,208290,131370
C. European languages > Indo-European Family > Greek Group,Greek Group,1,0,,,352,234,118
C. European languages > Indo-European Family > Greek Group > Greek (Romaic.),Greek (Romaic.),0,1,884,505,352,234,118
C. European languages > Indo-European Family > Romance Group,Romance Group,1,1,887,505,15430,9210,6220
C. European languages > Indo-European Family > Romance Group > Italian,Italian,0,1,890,505,1239,905,334
C. European languages > Indo-European Family > Romance Group > French,French,0,1,893,506,2966,1551,1415
C. European languages > Indo-European Family > Romance Group > Spanish,Spanish,0,1,896,506,587,383,204
C. European languages > Indo-European Family > Romance Group > Protuguese,Protuguese,0,1,899,506,10633,6366,4267
C. European languages > Indo-European Family > Romance Group > Basque,Basque,0,1,902,506,5,5,
C. European languages > Indo-European Family > Celtic Group,Celtic Group,1,1,905,506,1004,847,157
C. European languages > Indo-European Family > Celtic Group > Welsh,Welsh,0,1,908,506,53,105,48
C. European languages > Indo-European Family > Celtic Group > Gaelic (Scotch),Gaelic (Scotch),0,1,911,507,681,614,67
C. European languages > Indo-European Family > Celtic Group > Irish,Irish,0,1,914,507,179,136,43
C. European languages > Indo-European Family > Balto-Slavonic Group,Balto-Slavonic Group,1,0,,,188,126,62
"C. European languages > Indo-European Family > Balto-Slavonic Group > Slavonic (Russian, Polish and Others)","Slavonic (Russian, Polish and Others)",0,1,917,507,188,126,62
C. European languages > Indo-European Family > Teutonic Group,Teutonic Group,1,1,920,507,322686,197873,124813
C. European languages > Indo-European Family > Teutonic Group > English,English,0,1,923,507,319349,195989,123360
C. European languages > Indo-European Family > Teutonic Group > Dutch,Dutch,0,1,926,508,845,512,333
C. European languages > Indo-European Family > Teutonic Group > Flemish,Flemish,0,1,929,508,153,79,74
C. European languages > Indo-European Family > Teutonic Group > Norwegian,Norwegian,0,1,932,508,71,44,27
C. European languages > Indo-European Family > Teutonic Group > Swedish,Swedish,0,1,935,508,263,146,117
C. European languages > Indo-European Family > Teutonic Group > Danish,Danish,0,1,938,508,137,57,80
C. European languages > Indo-European Family > Teutonic Group > German,German,0,1,941,508,1867,1046,821
C. European languages > Mongolian Family,Mongolian Family,1,1,944,509,13,3,10
C. European languages > Mongolian Family > Ural-Altaic Group,Ural-Altaic Group,1,0,,,13,3,10
C. European languages > Mongolian Family > Ural-Altaic Group > Esthonian,Esthonian,0,1,947,509,1,1,
C. European languages > Mongolian Family > Ural-Altaic Group > Finnish,Finnish,0,1,950,509,8,,8
C. European languages > Mongolian Family > Ural-Altaic Group > Hungarian,Hungarian,0,1,953,509,4,2,2
C. European languages > European Languages unspecified,European Languages unspecified,0,1,956,509,33,21,12
