classification_path,name,is_group,total_printed,table_column,printed_page,india_persons,india_males,india_females
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Naga-Bodo Sub-Group > Kabui,Kabui,0,1,209,480,18475,8664,9811
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Naga-Bodo Sub-Group > Others,Others,0,1,212,480,15107,7422,7685
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Western Naga Sub-Group,Western Naga Sub-Group,1,1,215,480,93369,47136,46233
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Western Naga Sub-Group > Angami,Angami,0,1,218,480,43666,22203,21463
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Western Naga Sub-Group > Kezhama,Kezhama,0,1,221,480,5288,2879,2409
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Western Naga Sub-Group > Sema,Sema,0,1,224,480,38146,18937,19209
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Western Naga Sub-Group > Rengma (all branches),Rengma (all branches),0,1,227,480,6269,3117,3152
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Central Naga Sub-Group,Central Naga Sub-Group,1,1,230,480,55733,26474,29259
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Central Naga Sub-Group > Ao,Ao,0,1,233,480,33117,15325,17792
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Central Naga Sub-Group > Lhota,Lhota,0,1,236,480,18254,8970,9284
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Central Naga Sub-Group > Sangtam,Sangtam,0,1,239,480,4362,2179,2183
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Eastern Naga Sub-Group,Eastern Naga Sub-Group,1,1,242,480,102815,52590,50225
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Naga Group > Eastern Naga Sub-Group > Konyak,Konyak,0,1,245,480,9478,4562,4916
