entry,mother_tongue,areas_returned_from,total_speakers,returned_bilingual_col3,subsidiary_language_printed,subsidiary_language,persons,printed_page,scan_leaf
46,Western Hindi,Baluchistan; Bombay; Delhi; Madras; North-West Frontier Province; Punjab; United Provinces; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Travancore; Mysore; Western India States Agency,63627043,1273600,Bihari,Bihari,3,512,517
46,Western Hindi,Baluchistan; Bombay; Delhi; Madras; North-West Frontier Province; Punjab; United Provinces; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Travancore; Mysore; Western India States Agency,63627043,1273600,Banjari,Banjari,2,512,517
46,Western Hindi,Baluchistan; Bombay; Delhi; Madras; North-West Frontier Province; Punjab; United Provinces; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Travancore; Mysore; Western India States Agency,63627043,1273600,Hill and Aboriginal,Hill and Aboriginal,1,512,517
46,Western Hindi,Baluchistan; Bombay; Delhi; Madras; North-West Frontier Province; Punjab; United Provinces; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Travancore; Mysore; Western India States Agency,63627043,1273600,Others,Others,6,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Western Hindi,Western Hindi,157968,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Kanarese,Kanarese,81557,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Sindhi,Sindhi,54177,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Marathi,Marathi,53771,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Telugu,Telugu,50852,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Hindustani,Hindustani,34391,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Gujarati,Gujarati,15341,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Panjabi,Panjabi,8325,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Lahnda,Lahnda,3131,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Bhili,Bhili,2820,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Bengali,Bengali,2121,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Naipali,Naipali,805,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Thareli,Thareli or Dhatki,326,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Eastern Hindi,Eastern Hindi,226,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Kachchhi,Kachchhi,52,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Tamil,Tamil,42,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,English,English,9,512,517
47,Rajasthani,Bengal; Bombay; Delhi; Punjab; Central India Agency; Gwalior; Hyderabad; Mysore; Sikkim,12683173,464563,Tulu,Tulu,1,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Western Hindi,Western Hindi,85494,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Kachchhi,Kachchhi,53277,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Marathi,Marathi,50569,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,English,English,27530,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Rajasthani,Rajasthani,20491,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Hindustani,Hindustani,8284,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Bhili,Bhili,6740,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Kanarese,Kanarese,2095,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Malayalam,Malayalam,670,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Sindhi,Sindhi,661,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Telugu,Telugu,224,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Bengali,Bengali,132,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Eastern Hindi,Eastern Hindi,49,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Panjabi,Panjabi,19,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Naipali,Naipali,5,512,517
48,Gujarati,Bengal; Bombay; Baroda; Central India Agency; Gwalior; Hyderabad; Cochin; Rajputana Agency; Western India States Agency,10633861,256415,Tamil,Tamil,4,512,517
49,Bhili,Bombay; Baroda; Central India Agency; Central Provinces; Gwalior; Hyderabad; Rajputana Agency,2185876,209328,Gujarati,Gujarati,97512,512,517
49,Bhili,Bombay; Baroda; Central India Agency; Central Provinces; Gwalior; Hyderabad; Rajputana Agency,2185876,209328,Marathi,Marathi,57846,512,517
49,Bhili,Bombay; Baroda; Central India Agency; Central Provinces; Gwalior; Hyderabad; Rajputana Agency,2185876,209328,Rajasthani,Rajasthani,23380,512,517
49,Bhili,Bombay; Baroda; Central India Agency; Central Provinces; Gwalior; Hyderabad; Rajputana Agency,2185876,209328,Hindustani,Hindustani,19421,512,517
49,Bhili,Bombay; Baroda; Central India Agency; Central Provinces; Gwalior; Hyderabad; Rajputana Agency,2185876,209328,Western Hindi,Western Hindi,7626,512,517
49,Bhili,Bombay; Baroda; Central India Agency; Central Provinces; Gwalior; Hyderabad; Rajputana Agency,2185876,209328,Sindhi,Sindhi,2548,512,517
49,Bhili,Bombay; Baroda; Central India Agency; Central Provinces; Gwalior; Hyderabad; Rajputana Agency,2185876,209328,Ahirani or Khandeshi,Ahirani or Khandeshi,995,512,517
50,Khandesi,Bombay,222168,14285,Marathi,Marathi,13523,512,517
50,Khandesi,Bombay,222168,14285,Bhili,Bhili,627,512,517
50,Khandesi,Bombay,222168,14285,Western Hindi,Western Hindi,76,512,517
50,Khandesi,Bombay,222168,14285,Gujarati,Gujarati,59,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Hindustani,Hindustani,147085,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Kashmiri,Kashmiri,13593,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Western Hindi,Western Hindi,11170,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Lahnda,Lahnda,9975,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Sindhi,Sindhi,9059,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Pashto,Pashto,6487,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Dogri,Dogri,3584,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,English,English,3473,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Western Pahari,Western Pahari,2976,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Persian,Persian,891,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Rajasthani,Rajasthani,674,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Marathi,Marathi,545,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Gujarati,Gujarati,365,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Kohistani,Kohistani,237,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Bengali,Bengali,179,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Siraiki,Siraiki or Jatki,106,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Arabic,Arabic,94,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Naipali,Naipali,56,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Kachchhi,Kachchhi,16,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Telugu,Telugu,4,512,517
51,Punjabi,Bengal; Bombay; Delhi; North-West Frontier Province; Punjab; Jammu and Kashmir; Rajputana Agency; Sikkim,15725193,210446,Others,Others,52,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Hindustani,Hindustani,11688,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Bengali,Bengali,1017,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Panjabi,Panjabi,872,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Bhotia,Bhotia,208,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Lahnda,Lahnda,207,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Magari,Magari,177,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Murmi,Murmi,177,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,English,English,27,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Rai,Rai,23,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Kharia,Kharia,10,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Pashto,Pashto,5,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Newari,Newari,3,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Assamese,Assamese,2,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Kurukh,Kurukh or Oraon,2,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Rajasthani,Rajasthani,2,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Rong,Rong,2,512,517
52,"Eastern Pahari, Khas-Kura or Naipali",Bengal; North-West Frontier Province; Sikkim,182744,11501,Others,Others,2,512,517
53,Western Pahari,Delhi; Punjab; Jammu and Kashmir,2325646,23986,Hindustani,Hindustani,8020,512,517
53,Western Pahari,Delhi; Punjab; Jammu and Kashmir,2325646,23986,Kashmiri,Kashmiri,5941,512,517
53,Western Pahari,Delhi; Punjab; Jammu and Kashmir,2325646,23986,Panjabi,Panjabi,?,512,517
53,Western Pahari,Delhi; Punjab; Jammu and Kashmir,2325646,23986,Dogri,Dogri,4213,512,517
