language_as_printed,lang_path,vol1_entry,matched_by,kind,persons,volumes
Konkani,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Konkani,name,,12175,travancore
Telugu,A. Vernaculars of India > Vernaculars foreign to the State,Telugu,name,,12142,cochin
Braj Bhasha,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Western Hindi,Western Hindi,name,,12083,cia
Rajasthani (Marwari),Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Rajasthani,name,,11945,up
Persian,Group B. Asiatic Languages,Persian,name,,11806,bombay
Malayalam,Group A. Indian Languages,Malayalam,name,,11723,bombay
Bhotia of Nepal (Shar-pa),"A.—Languages of Bengal, Nepal and Sikkim > Bhotia",Bhotia (Others),group,,11671,bengal
English,C—European languages,English,name,,11665,nwfp
Sindhi,Indian Vernaculars > Other Indian Vernaculars,Sindhi,name,,11581,punjab
Koshti,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Marathi > Dialects included in Marathi,Marathi,name,,11555,cp_berar
English,C.-European languages,English,name,,11529,cp_berar
Rangpang (Naga),A.-Vernaculars of India (Vernaculars of Assam),Rangpang,name,,11072,assam
Bhotia of Sikkim (Da-njong-ka),"A.—Languages of Bengal, Nepal and Sikkim > Bhotia",Bhotia of Sikkim,name,,11063,bengal
Vasavi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,11025,baroda
Other European Languages,Group C. European Languages,C. European languages,name,,10747,bombay
Nimadi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,10744,gwalior
Hindi,A. Vernaculars of India > (i) Vernaculars of Central India > Western Hindi,HU,name,,10441,cia
Nzemi or Zemi (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,10263,assam
Punjabi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Panjabi,name,,10130,cp_berar
Karmali,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,10047,bihar_orissa
Nicobarese,A.—Vernaculars of India,Nicobarese,name,,9885,andaman
Telugu,A.—Vernaculars of India > (b) Other Vernaculars of India > Dravidian Family > Āndhra Language,Telugu,name,,9855,travancore
Gaddi,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,9798,jk
Bhumij,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,9758,bengal
Marwari,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,9752,gwalior
Poguli,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kashmiri,Kashmiri,group,,9751,jk
Kora (Koda),Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,9739,bihar_orissa
Naipali (Gorkhali),A—Indian Vernaculars > A (2)—Other Indian Vernaculars,"Eastern Pahari, Khas-Kura or Naipali",name,,9731,nwfp
Korwa,A-Vernaculars of India > Austric family > Austro-Asiatic sub-family > Munda branch > Kherwari > Dialect included in Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,9651,cp_berar
Bhili,A Vernaculars of India > Vernaculars of the State > Indo-European Family > Indo-Aryan Branch,Bhili,name,,9619,hyderabad
Konyak (Naga),A.-Vernaculars of India (Vernaculars of Assam),Konyak,name,,9478,assam
Newari,"A.—Languages of Bengal, Nepal and Sikkim",Newari,name,,9455,bengal
Other Languages,A. Vernaculars of India > A-(ii) Non-Presidency Languages,A. Vernaculars of India,group,,9431,madras
Savara,A. Vernaculars of India (outside Assam),Sawara,name,,9340,assam
Kharia,A-Vernaculars of India > Austric family > Austro-Asiatic sub-family > Munda branch,Kharia,name,,9076,cp_berar
Other Indian Languages,Group A. Indian Languages,A. Vernaculars of India,name,,9040,bombay
Rathi Dialect of Panjabi,A. Vernaculars of India > (I). Vernaculars of Rajputana,Panjabi,name,,9036,rajputana
Lalung,A.-Vernaculars of India (Vernaculars of Assam),Lalung,name,,9017,assam
"Bara (Bodo, Kachari, Mech)",B.—Languages of Assam,Bara Bodo or Plains Kachari,name,,8794,bengal
Gipsy Languages,A. Vernaculars of India > (I). Vernaculars of Rajputana,Gipsy Languages,name,,8766,rajputana
Punjabi,Indo-Aryan Languages,Panjabi,name,,8765,bihar_orissa
Gujarati,A. Vernaculars of India > A-(ii) Non-Presidency Languages,Gujarati,name,,8538,madras
Malayalam,A. Vernaculars of India > Dravidian Family > Dravida Group,Malayalam,name,,8513,mysore
Burmese,D.—Languages of Burma,Burmese,name,,8506,bengal
Koch,"A.—Languages of Bengal, Nepal and Sikkim",Koch,name,,8159,bengal
Sindhi,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (i) Outer Sub-Branch > North-Western Group,Sindhi,name,,8022,baluchistan
Eastern Pahari,Indian Vernaculars > Other Indian Vernaculars,"Eastern Pahari, Khas-Kura or Naipali",name,,8022,punjab
Kokni,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,7930,baroda
Mal Paharia,"A.—Languages of Bengal, Nepal and Sikkim > Bengali",Bengali,group,,7686,bengal
Naipali (Khas-Kura),Indo-Aryan Languages,"Eastern Pahari, Khas-Kura or Naipali",name,,7493,bihar_orissa
Turi,A. Vernaculars of India (outside Assam),"Kherwari (Santali, Mundari, Ho, etc.)",name,,7440,assam
Siraiki,A. Vernaculars of India > I. Of Baluchistan > Outer Sub-Branch > North-Western Group > (i) Lahnda or Western Punjabi,Lahnda or Western Punjabi,name,,7381,baluchistan
Kachha Naga,A.-Vernaculars of India (Vernaculars of Assam),Kachha Naga,name,,7282,assam
Golari or Holia,A-Vernaculars of India > Dravidian family > Kanarese > Dialect included in Kanarese,Kanarese,group,,7060,cp_berar
Purbi,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Eastern Hindi,Eastern Hindi,name,,7058,gwalior
Marāthī,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Marathi,name,,7054,travancore
Koya,A-Vernaculars of India > Dravidian family > Gondi > Dialects included in Gondi,Gondi,group,,7027,cp_berar
Chitrali,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Khowar Group,"Khowar, Chitrali or Arniya",name,,6951,jk
Hindustani,A—Indian Vernaculars > A (2)—Other Indian Vernaculars,HU,name,,6918,nwfp
Hindi,A. Vernaculars of India > Indo-European Family > Mediate Group,HU,name,,6915,mysore
Korwa,A. Vernaculars of India (outside Assam),"Kherwari (Santali, Mundari, Ho, etc.)",name,,6825,assam
Pardhi,A Vernaculars of India > Vernaculars of the State > Indo-European Family > Indo-Aryan Branch,Indo-Aryan Branch,group,,6659,hyderabad
Total Tamil,A-Vernaculars of India > Dravidian family,Tamil,name,,6634,cp_berar
Gujrati,E.—Languages of other parts of India,Gujarati,name,,6594,bengal
Other Indo-Aryan Languages,Indo-Aryan Languages,Indo-Aryan Branch,name,,6483,bihar_orissa
Rajasthani (others.),Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Rajasthani,name,,6475,up
Tipura,A.-Vernaculars of India (Vernaculars of Assam),Tipura (Mrung),name,,6404,assam
Persian,B—Vernaculars of other Asiatic countries and Africa,Persian,name,,6380,nwfp
J.-Malay Group,,Malay Group,name,,6368,burma
Gondi,Dravidian Languages,Gondi,name,,6270,bihar_orissa
Rengma (Naga),A.-Vernaculars of India (Vernaculars of Assam),Rengma (all branches),name,,6269,assam
Dardis-Tani,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Kafir Group,Kafir Group,group,,6232,jk
Gujarati,Indo-Aryan Languages,Gujarati,name,,6204,bihar_orissa
Lakher,A.-Vernaculars of India (Vernaculars of Assam),Lakher,name,,6186,assam
Kandhi or Kui,A. Vernaculars of India (outside Assam),Kandhi or Kui,name,,6180,assam
Kuki unspecified,A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,6154,assam
Other languages of Aryan Sub-family,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Aryan Sub-Family,group,,6035,cp_berar
Bengali,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Bengali,name,,5907,cp_berar
Tamil,E.—Languages of other parts of India,Tamil,name,,5855,bengal
Sindhi,Group A—Indian Languages,Sindhi,name,,5833,wisa
Other Munda Languages,Munda Languages,Munda Branch,name,,5671,bihar_orissa
Rajasthani,A—Languages of India > I—Indo-Aryan Branch > Central Group,Rajasthani,name,residual,5533,baroda
Padari,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,5425,jk
Arabic,Group B. Asiatic Languages,Arabic,name,,5363,bombay
Kezhama (Chizomi),A.-Vernaculars of India (Vernaculars of Assam),Kezhama,name,,5288,assam
Tibetan,Indian Vernaculars > Vernaculars of the Punjab,Bhotia of Tibet or Tibetan,name,,5272,punjab
Dehwari (Local Persian),A. Vernaculars of India > I. Of Baluchistan > Eranian Branch > Eastern Group,Persian,name,,5233,baluchistan
Marathi,A. Vernaculars of India > Vernaculars foreign to the State,Marathi,name,,5210,cochin
Persian,B. Vernaculars of other Asiatic Countries and Africa > Eranian Branch > Persian Group,Persian,name,,5020,baluchistan
Unclassed (Gipsy),Indian Vernaculars > Other Indian Vernaculars,Gipsy Languages,name,,4952,punjab
Western Hindi,Group A. (Indian Languages),Western Hindi,name,,4946,aden
Sondhi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Rajasthani,Rajasthani,group,,4896,gwalior
Chinese,F.—Languages of Asiatic countries outside India,Chinese Group,name,,4669,bengal
Eastern Pahari Khaskura or Naipali,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Pahari Group,"Eastern Pahari, Khas-Kura or Naipali",name,,4653,baluchistan
Vaiphei (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,4624,assam
Hindi,A.—Vernaculars of India > Hindustani,HU,name,,4618,andaman
Panjabi,A Vernaculars of India > Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Panjabi,name,,4560,hyderabad
Western Hindī,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Western Hindi,name,,4552,travancore
Kanarese,A. Vernaculars of India > Vernaculars foreign to the State,Kanarese,name,,4493,cochin
Somali,Group D. (African Languages),Somali,name,,4438,aden
Western Hindi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Western Hindi,name,residual,4398,cp_berar
Sangtam (Naga),A.-Vernaculars of India (Vernaculars of Assam),Sangtam,name,,4362,assam
Marathi,A. Vernaculars of India (outside Assam),Marathi,name,,4317,assam
Chutiya,A.-Vernaculars of India (Vernaculars of Assam),Chutiya,name,,4315,assam
Bengali,Group A. Indian Languages,Bengali,name,,4315,bombay
Marathi,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Marathi,name,,4298,up
Maring,A. Vernaculars of India > Vernaculars of Assam,Maring,name,,4251,assam
Other languages of Dravidian family,A-Vernaculars of India > Dravidian family,Dravidian Family,group,,4235,cp_berar
D.-Naga Group,,Naga Group,name,,4201,burma
Hindi,A—Indian Vernaculars > A (2)—Other Indian Vernaculars,HU,name,,4173,nwfp
Naikdi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,4130,baroda
Gujarati,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Gujarati,name,,4114,up
Pashto,E.—Languages of other parts of India,Pashto,name,,4084,bengal
Gipsy languages,A-Vernaculars of India > (iv) Unclassed languages,Gipsy Languages,name,,4059,cp_berar
Bhotia,Indian Vernaculars > Other Indian Vernaculars,Bhotia (Others),name,,4029,punjab
Persian,Vernaculars of other Asiatic Countries and Africa,Persian,name,,4000,punjab
Bhotia,Part B.—Vernaculars of non-Indian Asiatic Countries,Bhotia (Others),name,,4000,up
Zahao,A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Chin Sub-Group,name,,3886,assam
Khamti,A.-Vernaculars of India (Vernaculars of Assam),Khamti,name,,3858,assam
Mro,"A.—Languages of Bengal, Nepal and Sikkim",Mro (Mru),name,,3793,bengal
Kuki,B.—Languages of Assam,Other or unspecified Kuki Sub-Group,name,,3778,bengal
Asiatic Non-Indian and African Languages,B. Asiatic Non-Indian and African Languages,B. Vernaculars of other Asiatic countries and Africa,name,,3776,madras
Kurku,A. Vernaculars of India (outside Assam),Korku,name,,3742,assam
Koracha,A. Vernaculars of India > Dravidian Family > Dravida Group > Tamil,Tamil,group,,3704,mysore
Gipsy,Group A. Indian Languages,Gipsy Languages,name,,3653,bombay
Mewati,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Rajasthani,Rajasthani,name,,3634,cia
Naga (unspecified),A.-Vernaculars of India (Vernaculars of Assam),Yang (unspecified),name,,3627,assam
Kanarese,A-Vernaculars of India > Dravidian family,Kanarese,name,residual,3627,cp_berar
Panjabi,A. Vernaculars of India (outside Assam),Panjabi,name,,3587,assam
English,C.—European languages,English,name,,3551,andaman cia
Punjabi,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Punjabi,Panjabi,name,,3513,cia
Pardhi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Bhili > Dialect included in Bhili,Bhili,group,,3496,cp_berar
Arabic,B.—Vernaculars of Asiatic Countries other than India > Semitic Family,Arabic,name,,3458,travancore
Gujarathi,A. Vernaculars of India > Indo-European Family > Central Group > Gujarathi,Gujarati,name,,3430,mysore
Bhotia of Tibet (Tibetan),"A.—Languages of Bengal, Nepal and Sikkim > Bhotia",Bhotia of Tibet or Tibetan,name,,3393,bengal
Pashto,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Eranian Branch > Eastern Group > Afghanistan—Balochistan Sub-Group,Pashto,name,,3354,jk
Others,Indian Vernaculars > Other Indian Vernaculars,Others,name,,3322,punjab
Anal (Kuki),A. Vernaculars of India > Vernaculars of Assam,Anal,name,,3314,assam
Malto,C.—Languages of Bihar and Orissa,Malto,name,,3304,bengal
Jaipuri,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,3300,gwalior
Tamil,Dravidian Languages,Tamil,name,,3269,bihar_orissa
Tulu,A.—Vernaculars of India > (b) Other Vernaculars of India > Dravidian Family > Dravida Group,Tulu,name,,3196,travancore
Arabic,B Vernaculars of Asiatic Countries and Africa > Semitic Family,Arabic,name,,3172,hyderabad
Central Pahari,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (iii) Inner Sub-Branch > Pahari Group,Central Pahari,name,,3169,baluchistan
Hindi,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Western Hindi,HU,name,,3071,jk
Kachin or Singpho,A.-Vernaculars of India (Vernaculars of Assam),Kachin,name,,3042,assam
Hindustani,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,HU,name,,2970,gwalior
Others,D.—Languages of Burma,Others,name,,2935,bengal
Gurung,"A.—Languages of Bengal, Nepal and Sikkim",Gurung,name,,2831,bengal
Z.-Other Languages,,,not matched,,2821,burma
Banjari,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,2794,gwalior
Marathi,E.—Languages of other parts of India,Marathi,name,residual,2787,bengal
Others,A—Indian Vernaculars > A (2)—Other Indian Vernaculars,Others,name,,2767,nwfp
Kaghani,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kohistani,Kohistani,group,,2766,jk
Others,A Vernaculars of India,Others,name,,2764,hyderabad
Assamese,B.—Languages of Assam,Assamese,name,,2750,bengal
Burmese,A.—Vernaculars of India,Burmese,name,,2745,andaman
Gujarati,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Gujarati,Gujarati,name,residual,2739,cia
Tamil,A. Vernaculars of India > (ii) Vernaculars of India foreign to Central India,Tamil,name,,2695,cia
Marwari,A. Vernaculars of India > A-(ii) Non-Presidency Languages,Rajasthani,name,,2694,madras
Hebrew,Group B. (Asiatic Languages),Hebrew,name,,2671,aden
Bengali,Indian Vernaculars > Other Indian Vernaculars,Bengali,name,,2667,punjab
Kom (Kuki),A. Vernaculars of India > Vernaculars of Assam,Kom,name,,2662,assam
Total Group D,Group D. All other Languages and Languages not returned,,not matched,,2659,bombay
Others,A. Vernaculars of India > (II). Vernaculars of India foreign to Rajputana,Others,name,,2654,rajputana
Khoirao (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,2635,assam
Gujarati,Group A. (Indian Languages),Gujarati,name,,2618,aden
Maram (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,2609,assam
Turi,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,2578,bengal
Lushei,B.—Languages of Assam,Lushei,name,,2578,bengal
Gujarati,Indian Vernaculars > Other Indian Vernaculars,Gujarati,name,,2521,punjab
Korama,A. Vernaculars of India > Dravidian Family > Dravida Group > Tamil,Tamil,group,,2519,mysore
Oriya,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Oriya,name,residual,2500,cp_berar
Hindi,A. Vernaculars of India > Vernaculars foreign to the State,HU,name,,2486,cochin
Jaipuri,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Rajasthani,Rajasthani,name,,2459,cia
Gangte (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,2455,assam
Magari,A. Vernaculars of India (outside Assam),Magari,name,,2454,assam
Marathi,A. Vernaculars of India > (II). Vernaculars of India foreign to Rajputana,Marathi,name,,2433,rajputana
Bihari,A. Vernaculars of India > (II). Vernaculars of India foreign to Rajputana,Bihari,name,,2425,rajputana
Labhani,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Rajasthani,Rajasthani,group,,2357,jk
Urdu,A.—Vernaculars of India > Hindustani,HU,name,,2311,andaman
Mishmi,A.-Vernaculars of India (Vernaculars of Assam),Mishmi,name,,2285,assam
Gujarātī,A.—Vernaculars of India > (b) Other Vernaculars of India > Indo-European Family > Indo-Aryan Branch,Gujarati,name,,2275,travancore
Other Languages,C. European Languages,C. European languages,group,,2251,madras
Kashmiri,A—Indian Vernaculars > A (1)—Vernaculars of the N.-W. F. P.,Kashmiri,name,,2249,nwfp
Panjabi,A.—Vernaculars of India,Panjabi,name,,2232,andaman
Punjabi,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Punjabi,Panjabi,name,,2228,gwalior
Marwari,A. Vernaculars of India > Indo-European Family > Central Group > Rajasthani,Rajasthani,name,,2217,mysore
Liyengmai (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,2209,assam
Tamil,A. Vernaculars of India (outside Assam),Tamil,name,,2106,assam
Malayalam,A.—Vernaculars of India,Malayalam,name,,2073,andaman
Kotali,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,2065,baroda
Pashto,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Pashto,name,,2048,up
Gujarati,A. Vernaculars of India (outside Assam),Gujarati,name,,2035,assam
Persian,Group B—Asiatic Languages,Persian,name,,1986,wisa
Kanarese,A.—Vernaculars of India > (b) Other Vernaculars of India > Dravidian Family > Dravida Group,Kanarese,name,,1957,travancore
Hadauti,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,group,,1929,gwalior
Total Kherwari,A-Vernaculars of India > Austric family > Austro-Asiatic sub-family > Munda branch,"Kherwari (Santali, Mundari, Ho, etc.)",name,,1919,cp_berar
Rambani,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kashmiri,Kashmiri,group,,1919,jk
Shan,A.-Vernaculars of India (Vernaculars of Assam),Shan (unspecified),name,,1855,assam
Marathi,Group A—Indian Languages,Marathi,name,,1850,wisa
Others,,Others,name,,1844,assam
Hindustani,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Western Hindi,HU,name,,1827,jk
Other languages,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,,not matched,,1824,up
Others,F.—Languages of Asiatic countries outside India,Others,name,,1786,bengal
Kaikadi,A-Vernaculars of India > Dravidian family > Tamil > Dialect included in Tamil,Tamil,name,,1786,cp_berar
"Bhotia, other and unspecified","A.—Languages of Bengal, Nepal and Sikkim > Bhotia",Bhotia (Others),name,,1782,bengal
Ho,A. Vernaculars of India (outside Assam),"Kherwari (Santali, Mundari, Ho, etc.)",name,,1729,assam
Eastern Hindi,A. Vernaculars of India > (II). Vernaculars of India foreign to Rajputana,Eastern Hindi,name,,1715,rajputana
Shikwar,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,group,,1712,jk
Pashto,A. Vernaculars of India (outside Assam),Pashto,name,,1703,assam
Sarori,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Pahari Group > Western Pahari,Western Pahari,group,,1702,jk
Kholhang (Khotlang) (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,1697,assam
Jafiri (Jafarki),A. Vernaculars of India > I. Of Baluchistan > Outer Sub-Branch > North-Western Group > (i) Lahnda or Western Punjabi,Lahnda or Western Punjabi,group,,1670,baluchistan
Kherwari unspecified,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,1660,bengal
Bhotia of Bhutan (Lho-ke),"A.—Languages of Bengal, Nepal and Sikkim > Bhotia",Bhotia of Bhutan or Lhoke,name,,1658,bengal
Dafla,A.-Vernaculars of India (Vernaculars of Assam),Dafla,name,,1644,assam
Gujarati,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Gujarati,name,,1626,ajmer
Rajasthani,A—Languages of India > I—Indo-Aryan Branch > Central Group,Rajasthani,name,,1609,baroda
Pashto,Other Languages of India,Pashto,name,,1579,bihar_orissa
Brukpa,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Shina,Shina,group,,1554,jk
Arabic,F.—Languages of Asiatic countries outside India,Arabic,name,,1544,bengal
English,Group C. (European Languages),English,name,,1490,aden
Gipsy Languages,A. Vernaculars of India > (i) Vernaculars of Central India,Gipsy Languages,name,,1467,cia
Jatwari,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,1425,gwalior
Oriya,A. Vernaculars of India > Indo-European Family > Eastern Group,Oriya,name,,1388,mysore
Koch,A.-Vernaculars of India (Vernaculars of Assam),Koch,name,,1370,assam
Mewari,A. Languages of India > (2) Languages not proper to State > Indo-European Family > Rajasthani,Rajasthani,name,,1353,gwalior
Tamil,A-Vernaculars of India > Dravidian family,Tamil,name,residual,1334,cp_berar
Urdu,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Western Hindi,HU,name,,1319,jk
Chhattisgarhi,"A.—Languages of Bengal, Nepal and Sikkim > Hindustani",Eastern Hindi,name,,1283,bengal
Chiru,A. Vernaculars of India > Vernaculars of Assam,Chiru,name,,1269,assam
Khyang (Sho),D.—Languages of Burma,Khyang (Sho),name,,1265,bengal
Panjabi,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Panjabi,name,,1256,ajmer
Gujarati,A. Vernaculars of India > Vernaculars foreign to the State,Gujarati,name,,1253,cochin
Lamgang (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,1224,assam
English,C.—European Languages > Indo-European Family > Teutonic Group,English,name,,1199,travancore
Limbu,A. Vernaculars of India (outside Assam),Kiranti,name,,1176,assam
B.-Vernaculars of Asiatic Countries beyond India (All families),B.-Vernaculars of Asiatic Countries beyond India,B. Vernaculars of other Asiatic countries and Africa,name,,1173,cp_berar
Bengali,A.—Vernaculars of India,Bengali,name,,1171,andaman
Bhotia of Bhutan,A. Vernaculars of India (outside Assam),Bhotia of Bhutan or Lhoke,name,,1155,assam
Hrangkhol (Kuki),A. Vernaculars of India > Vernaculars of Assam,Other or unspecified Kuki Sub-Group,name,,1126,assam
Naipali (Gorkhali),(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo Aryan Branch > Inner Sub-Branch > Pahari Group > Western Pahari,"Eastern Pahari, Khas-Kura or Naipali",name,,1120,jk
Persian,F.—Languages of Asiatic countries outside India,Persian,name,,1116,bengal
Total Kanarese,A-Vernaculars of India > Dravidian family,Kanarese,name,,1086,cp_berar
Asuri,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",group,,1073,bengal
Other European Languages,Y.-European Languages,C. European languages,name,,1029,burma
Jatki,A. Vernaculars of India > I. Of Baluchistan > Outer Sub-Branch > North-Western Group > (iii) Unspecified,Lahnda or Western Punjabi,name,,1025,baluchistan
Western Hindi,A.—Vernaculars of India > (ii) Vernaculars of India foreign to Central India > Western Hindi,Western Hindi,name,residual,1013,cia
Marathi,Indian Vernaculars > Other Indian Vernaculars,Marathi,name,,973,punjab
Arabic,Group B—Asiatic Languages,Arabic,name,,968,wisa
Other Languages,Part C.—European Languages,,not matched,,958,up
Marathi,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Marathi,name,,949,ajmer
O.-Man Group,,Man Group,name,,947,burma
Tamil,Part A.—Vernaculars of India > (2) Vernaculars foreign to the Province,Tamil,name,,941,up
Sindhi,A—Languages of India > I—Indo-Aryan Branch > North West Group,Sindhi,name,,934,baroda
Mavchi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,924,baroda
Panjabi,A—Languages of India > I—Indo-Aryan Branch > Central Group,Panjabi,name,,920,baroda
Sikarwari,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,908,gwalior
Tonwarghari,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,Western Hindi,group,,907,gwalior
Eastern Hindi,A. Vernaculars of India > (ii) Vernaculars of India foreign to Rajputana,Eastern Hindi,name,,855,ajmer
Phom (Naga),A.-Vernaculars of India (Vernaculars of Assam),Other or unspecified Naga Languages,name,,854,assam
Tamil,Indian Vernaculars > Other Indian Vernaculars,Tamil,name,,852,punjab
Telugu,A. Vernaculars of India > (ii) Vernaculars of India foreign to Central India,Telugu,name,,846,cia
Kolghi,A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati > Bhil Dialects,Bhili,group,,820,baroda
Balochi,A. Vernaculars of India (outside Assam),Balochi,name,,799,assam
Bhotia of Tibet,B. Vernaculars of Asiatic Countries beyond India,Bhotia of Tibet or Tibetan,name,,790,assam
Marathi,A. Vernaculars of India > II. Of other Parts of India > Aryan Sub-Family > (i) Outer Sub-Branch > Southern Group,Marathi,name,,789,baluchistan
Sokte (Suhte including Kamhao),A. Vernaculars of India > Vernaculars of Assam,Sokte,name,,777,assam
Jattki or Jagdali,A. Vernaculars of India > I. Of Baluchistan > Outer Sub-Branch > North-Western Group > (iii) Unspecified,Lahnda or Western Punjabi,name,,775,baluchistan
Tamil,A.—Vernaculars of India,Tamil,name,,769,andaman
Other Dravidian Languages,Dravidian Languages,Dravidian Family,name,,765,bihar_orissa
