language_as_printed,lang_path,vol1_entry,matched_by,kind,persons,volumes
Hindi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,HU,name,,535978,gwalior
Ho,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,526443,bihar_orissa
Mundari,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,521891,bihar_orissa
North Eastern Rajasthani,A. Vernaculars of India > (I). Vernaculars of Rajputana,Rajasthani,name,,478941,rajputana
Kachchhi,Group A—Indian Languages,Sindhi,name,,412048,wisa
Hindustani,A. Vernaculars of India > Indo-European Family > Central Group,HU,name,,382876,mysore
Bhili,A. Vernaculars of India > (i) Vernaculars of Central India > Bhili (Bhil Dialects),Bhili,name,,375075,cia
Manipuri (Meithei),A. Vernaculars of India > Vernaculars of Assam,Kathe (Ponna) including Meithei (Manipuri),name,,368247,assam
Malvi,A. Vernaculars of India > (I). Vernaculars of Rajputana,Rajasthani,name,,350856,rajputana
Gondi,A. Vernaculars of India > (i) Vernaculars of Central India,Gondi,name,,345438,cia
C.-Kuki-Chin Group,,Kuki-Chin Group,name,,343854,burma
Western Hindi,A. Languages of India > (1) Languages Proper to State > Indo-European Family,Western Hindi,name,residual,337719,gwalior
Total Oriya,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Oriya,name,,337304,cp_berar
Total Eastern Hindi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Eastern Hindi,name,,336761,cp_berar
Punjabi,(b) Languages of India > Indo-European Family > Aryan Sub-Family > Indo-Aryan Branch > Inner Sub-Branch > Central Group > Punjabi,Panjabi,name,,329201,jk
Gojari,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Central Group > Rajasthani,Rajasthani,group,,317762,jk
Tamil,A. Vernaculars of India > Dravidian Family > Dravida Group > Tamil,Tamil,name,,307462,mysore
K.-Mon Group,,Mon Group,name,,305294,burma
Rajasthani,Group A. Indian Languages,Rajasthani,name,,302939,bombay
Nimadi,A. Vernaculars of India > (i) Vernaculars of Central India > Rajasthani,Rajasthani,name,,299535,cia
Balochi,Group A. Indian Languages,Balochi,name,,293822,bombay
Rajasthani,A. Languages of India > (1) Languages Proper to State > Indo-European Family,Rajasthani,name,residual,284530,gwalior
"Bârâ, Bodo or Plains Kāchāri",A.-Vernaculars of India (Vernaculars of Assam),Bara Bodo or Plains Kachari,name,,282582,assam
